ID,Section,Ref,Requirement,User,Inputs,Conditions,Expected,DataImpact,StateRules,TimeRules,PermissionRules,PolicyRules,CurrentBehavior,Frontend,API,Database,Worker,GapOrDiff,AcceptanceCriteria,TestSteps,ImplementationStatus,GitHubDeliveryStatus,Priority,IssueLink,BranchLink,PRLink,TestResult,CommitHash,Evidence
REQ-01-001,01 نطاق,01-1,منصة متكاملة: واجهة عامة وإدارة وخادم وقاعدة بيانات وعامل مهام وبحث واستيراد وحوكمة وتشغيل,قارئ ومدير,تنقل بين الواجهة العامة والإدارة,اتصال فعلي بين الطبقات,عمل متكامل بين جميع المكونات,تأثير عبر المعاملات,فصل الحالات,تواريخ النفاذ,صلاحيات مورد.إجراء,سياسات قابلة للإدارة,Next.js يجمع الواجهة والخادم معا; العامل غير مستقل; لا يوجد NestJS منفصل; لا MariaDB; لا طابور قاعدة بيانات مستقل,src/components src/app/api,API routes في Next.js,Prisma SQLite,لا يوجد عامل مستقل,البيئة تستخدم Next.js بدلا من Vite+NestJS+MariaDB; العامل والطابور غير موجودين كخدمات منفصلة; التكامل بين الطبقات جزئي,تشغيل من نسخة جديدة يثبت عمل الواجهة والإدارة والبحث والاستيراد,استنساخ وبناء وتشغيل وفحص رحلات,منفذ جزئيًا,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-01-002,01 نطاق,01-2,البحث المتقدم يعمل ويغطي النصوص والمواد والملاحق,قارئ,عبارة بحث وفلترة,تطبيع عربي في الفهرس,نتائج على مستوى التشريع والمادة والملحق,لا تأثير,تواريخ النسخ,إتاحة المنشور,تطبيع دون دمج ة/ه افتراضيًا,البحث يعمل مع فلاتر وتجميعات; التطبيع يدعم الألف والهمزة; لا يوجد فهرس FTS5,search-view.tsx,/api/search,Prisma queries,لا يوجد,لا يوجد محرك بحث مستقل; الفهرس قابل لإعادة البناء نظريًا لكن غير منفذ فعليًا,البحث عن عبارة يرجع نتائج صحيحة على المستويات الثلاثة,ابحث عن "العمل" وتحقق من فئات النتائج,منفذ وغير متحقق,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-01-003,01 نطاق,01-3,الاستيراد متعدد الصيغ مع استخراج وOCR عربي,مدير محتوى,ملف TXT/PDF/DOCX/صورة,تحقق الامتداد والتوقيع,استخراج نص وبنية وعربية صحيحة,حفظ الأصل والنص الخام,إلغاء المهام عند حذف العملية,لا تأثير زمني,رفع مصرح,سياسة مراجعة OCR,نموذج رفع موجود; أنواع ناقصة (MD/XLSX/صور); لا OCR عربي فعلي; لا TXT+PDF معًا,imports-section.tsx,/api/admin/imports,ImportOperation model,لا يوجد عامل استخراج,أنواع الملفات ناقصة; OCR غير منفذ; معالجة خلفية غير موجودة,رفع كل صيغة ونجاح الاستخراج والمعاينة,ارفع TXT وPDF وDOCX وXLSX وصورة,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-01-004,01 نطاق,01-4,الحوكمة: صلاحيات وسياسات واستثناءات وتدقيق,مدير نظام,إدارة الأدوار والسياسات,إنفاذ خادمي,رفض الطلبات غير المصرحة,تدقيق محمي,إبطال الجلسات,سقف السلطة,منع مباشر يتقدم,سياسات مع تكوين واستثناءات,الأدوار والصلاحيات معرفة; السياسات معرفة; لكن الإنفاذ الخادمي غائب; جميع API الإدارة مفتوحة,admin sections,/api/admin/*,Role Permission models,لا يوجد,لا يوجد إنفاذ صلاحيات فعلي على API; الإدارة متاحة بلا مصادقة,طلب مباشر غير مصرح يرفض بـ 403,أرسل طلبا لإنشاء تشريع بدون صلاحية,جزئي أو معيب,مدمج في develop,حرجة,,docs/2-audit-requirements,,,,,
REQ-02-001,02 مرجع,02-1,الوظائف العامة المستوحاة من موقع تشريعات الإمارات,قارئ,تصفح القوائم والتفاصيل,روابط مستقرة,واجهة مستقلة الهوية,لا تأثير,لا يوجد,لا يوجد,لا يوجد,هوية يمنية مستقلة مع ألوان وخط عربي,home legislations detail,نعم,نعم,لا يوجد,الهوية البصرية يمنية مستقلة; الوظائف العامة موجودة لكن ليست مطابقة للمرجع,القوائم والتفاصيل والفهرس والتبويبات تعمل,افتح قائمة التشريعات وتفاصيل تشريع,منفذ وغير متحقق,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-03-001,03 معمارية,03-1,React وVite وTypeScript للواجهة,مطور,فحص التقنيات,استخدام Vite,واجهة Vite منفصلة,لا تأثير,لا يوجد,لا يوجد,لا يوجد,لا يوجد,Next.js بدلا من Vite; TypeScript موجود; الواجهة والخادم في تطبيق واحد,src/app,Next.js API routes,لا يوجد,لا يوجد,اختلاف تقني: Next.js بدلا من Vite+NestJS; مقرر في البيئة المتاحة,توضيح الاختلاف في الوثائق,افحص package.json والتقنيات,مخالف للفهم المطلوب,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-03-002,03 معمارية,03-2,NestJS وREST/OpenAPI للخادم,مطور,فحص الخادم,NestJS منفصل,API موثق OpenAPI,لا تأثير,لا يوجد,لا يوجد,لا يوجد,لا يوجد,Next.js API routes بدلا من NestJS; لا توثيق OpenAPI,src/app/api,Next.js routes,لا يوجد,لا يوجد,اختلاف: API routes بدلا من NestJS مستقل; لا OpenAPI,توثيق API موجود,افحص مسارات API,مخالف للفهم المطلوب,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-03-003,03 معمارية,03-3,MariaDB مع TypeORM وترحيلات,مطور,فحص قاعدة البيانات,MariaDB,ترحيلات صريحة,تأثير على البيانات,لا يوجد,لا يوجد,لا يوجد,لا يوجد,SQLite مع Prisma بدلا من MariaDB مع TypeORM; ترحيلات عبر db:push,prisma/,Prisma SQLite,لا يوجد,اختلاف: SQLite+Prisma بدلا من MariaDB+TypeORM; قيود البيئة,البيانات محفوظة وقابلة للترحيل,افحص schema.prisma,مخالف للفهم المطلوب,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-03-004,03 معمارية,03-4,عامل Node مستقل للاستخراج وOCR والفهرسة,مطور,فحص العامل,عامل مستقل,طابور في قاعدة البيانات,تأثير على المهام,إلغاء المهام العالقة,لا يوجد,لا يوجد,لا يوجد,لا يوجد عامل مستقل; لا طابور; الاستيراد وهمي,لا يوجد,ImportOperation model لكن غير مستخدم,لا يوجد,العامل والطابور غير موجودين,تنفيذ عامل مستقل أو توثيق القيد,افحص وجود عامل أو طابور,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-04-001,04 بيانات,04-1,هويات ثابتة وفصل الحالات,مطور,فحص المخطط,هويات مستقلة,فصل الحالة القانونية عن النشر والتفعيل والحذف,تأثير على العلاقات,فترات زمنية متسقة,صلاحيات منفصلة,سياسات منفصلة,المخطط يفصل الحالات القانونية وسير العمل; الهويات ثابتة (cuid),prisma/schema.prisma,نعم,Prisma,لا يوجد,المخطط جيد لكن العدادات قد تكون غير متسقة,فحص توافق العدادات مع القوائم,قارن عداد التعديلات مع القائمة,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
